Node,intreface,ip,network
R1,F1/0,10.10.10.1,10.10.10.0
,F1/1,10.10.11.1,10.10.11.0
,F1/2,10.10.12.1,10.10.12.0
,F1/3,10.10.13.1,10.10.13.0
,F1/4,10.10.14.1,10.10.14.0
,F1/5,10.10.15.1,10.10.15.0
,F1/6,10.10.16.1,10.10.16.0
,F1/7,10.10.17.1,10.10.17.0
,F1/8,10.10.18.1,10.10.18.0
,F1/9,10.10.19.1,10.10.19.0
,F1/10,10.10.20.1,10.10.20.0
,F1/11,10.10.21.1,10.10.21.0
,F1/12,10.10.22.1,10.10.22.0
,F1/13,10.10.23.1,10.10.23.0
R2,F1/0,10.10.10.2,10.10.10.0
,F1/1,10.10.24.1,10.10.24.0
,F1/2,10.10.25.1,10.10.25.0
,F1/3,10.10.26.1,10.10.26.0
,F1/4,10.10.27.1,10.10.27.0
,F1/5,10.10.28.1,10.10.28.0
,F1/6,10.10.29.1,10.10.29.0
,F1/7,10.10.30.1,10.10.30.0
,F1/8,10.10.31.1,10.10.31.0
,F1/9,10.10.32.1,10.10.32.0
,F1/10,10.10.33.1,10.10.33.0
,F1/11,10.10.34.1,10.10.34.0
,F1/12,10.10.35.1,10.10.35.0
,F1/13,10.10.36.1,10.10.36.0
R3,F1/0,10.10.11.2,10.10.11.0
,F1/1,10.10.24.2,10.10.24.0
,F1/2,10.10.37.1,10.10.37.0
,F1/3,10.10.38.1,10.10.38.0
,F1/4,10.10.39.1,10.10.39.0
,F1/5,10.10.40.1,10.10.40.0
,F1/6,10.10.41.1,10.10.41.0
,F1/7,10.10.42.1,10.10.42.0
,F1/8,10.10.43.1,10.10.43.0
,F1/9,10.10.44.1,10.10.44.0
,F1/10,10.10.45.1,10.10.45.0
,F1/11,10.10.46.1,10.10.46.0
,F1/12,10.10.47.1,10.10.47.0
,F1/13,10.10.48.1,10.10.48.0
R4,F1/0,10.10.12.2,10.10.12.0
,F1/1,10.10.25.2,10.10.25.0
,F1/2,10.10.37.2,10.10.37.0
,F1/3,10.10.49.1,10.10.49.0
,F1/4,10.10.50.1,10.10.50.0
,F1/5,10.10.51.1,10.10.51.0
,F1/6,10.10.52.1,10.10.52.0
,F1/7,10.10.53.1,10.10.53.0
,F1/8,10.10.54.1,10.10.54.0
,F1/9,10.10.55.1,10.10.55.0
,F1/10,10.10.56.1,10.10.56.0
,F1/11,10.10.57.1,10.10.57.0
,F1/12,10.10.58.1,10.10.58.0
,F1/13,10.10.59.1,10.10.59.0
R5,F1/0,10.10.13.2,10.10.13.0
,F1/1,10.10.26.2,10.10.26.0
,F1/2,10.10.38.2,10.10.38.0
,F1/3,10.10.49.2,10.10.49.0
,F1/4,10.10.60.1,10.10.60.0
,F1/5,10.10.61.1,10.10.61.0
,F1/6,10.10.62.1,10.10.62.0
,F1/7,10.10.63.1,10.10.63.0
,F1/8,10.10.64.1,10.10.64.0
,F1/9,10.10.65.1,10.10.65.0
,F1/10,10.10.66.1,10.10.66.0
,F1/11,10.10.67.1,10.10.67.0
,F1/12,10.10.68.1,10.10.68.0
,F1/13,10.10.68.1,10.10.68.0
R6,F1/0,10.10.14.2,10.10.14.0
,F1/1,10.10.27.2,10.10.27.0
,F1/2,10.10.39.2,10.10.39.0
,F1/3,10.10.50.2,10.10.50.0
,F1/4,10.10.60.2,10.10.60.0
,F1/5,10.10.70.1,10.10.70.0
,F1/6,10.10.71.1,10.10.71.0
,F1/7,10.10.72.1,10.10.72.0
,F1/8,10.10.73.1,10.10.73.0
,F1/9,10.10.74.1,10.10.74.0
,F1/10,10.10.75.1,10.10.75.0
,F1/11,10.10.76.1,10.10.76.0
,F1/12,10.10.77.1,10.10.77.0
,F1/13,10.10.78.1,10.10.78.0
R7,F1/0,10.10.15.2,10.10.15.0
,F1/1,10.10.28.2,10.10.28.0
,F1/2,10.10.40.2,10.10.40.0
,F1/3,10.10.51.2,10.10.51.0
,F1/4,10.10.61.2,10.10.61.0
,F1/5,10.10.70.2,10.10.70.0
,F1/6,10.10.79.1,10.10.79.0
,F1/7,10.10.80.1,10.10.80.0
,F1/8,10.10.81.1,10.10.81.0
,F1/9,10.10.82.1,10.10.82.0
,F1/10,10.10.83.1,10.10.83.0
,F1/11,10.10.84.1,10.10.84.0
,F1/12,10.10.85.1,10.10.85.0
,F1/13,10.10.86.1,10.10.86.0
R8,F1/0,10.10.16.2,10.10.16.0
,F1/1,10.10.29.2,10.10.29.0
,F1/2,10.10.41.2,10.10.41.0
,F1/3,10.10.52.2,10.10.52.0
,F1/4,10.10.62.2,10.10.62.0
,F1/5,10.10.71.2,10.10.71.0
,F1/6,10.10.79.2,10.10.79.0
,F1/7,10.10.87.1,10.10.87.0
,F1/8,10.10.88.1,10.10.88.0
,F1/9,10.10.89.1,10.10.89.0
,F1/10,10.10.90.1,10.10.90.0
,F1/11,10.10.91.1,10.10.91.0
,F1/12,10.10.92.1,10.10.92.0
,F1/13,10.10.93.1,10.10.93.0
R9,F1/0,10.10.17.2,10.10.17.0
,F1/1,10.10.30.2,10.10.30.0
,F1/2,10.10.42.2,10.10.42.0
,F1/3,10.10.53.2,10.10.53.0
,F1/4,10.10.63.2,10.10.63.0
,F1/5,10.10.72.2,10.10.72.0
,F1/6,10.10.80.2,10.10.80.0
,F1/7,10.10.87.2,10.10.87.0
,F1/8,10.10.94.1,10.10.94.0
,F1/9,10.10.95.1,10.10.95.0
,F1/10,10.10.96.1,10.10.96.0
,F1/11,10.10.97.1,10.10.97.0
,F1/12,10.10.98.1,10.10.98.0
,F1/13,10.10.99.1,10.10.99.0
R10,F1/0,10.10.18.2,10.10.18.0
,F1/1,10.10.31.2,10.10.31.0
,F1/2,10.10.43.2,10.10.43.0
,F1/3,10.10.54.2,10.10.54.0
,F1/4,10.10.64.2,10.10.64.0
,F1/5,10.10.73.2,10.10.73.0
,F1/6,10.10.81.2,10.10.81.0
,F1/7,10.10.88.2,10.10.88.0
,F1/8,10.10.94.2,10.10.94.0
,F1/9,10.10.100.1,10.10.100.0
,F1/10,10.10.101.1,10.10.101.0
,F1/11,10.10.102.1,10.10.102.0
,F1/12,10.10.103.1,10.10.103.0
,F1/13,10.10.104.1,10.10.104.0
R11,F1/0,10.10.19.2,10.10.19.0
,F1/1,10.10.32.2,10.10.32.0
,F1/2,10.10.44.2,10.10.44.0
,F1/3,10.10.55.2,10.10.55.0
,F1/4,10.10.65.2,10.10.65.0
,F1/5,10.10.74.2,10.10.74.0
,F1/6,10.10.82.2,10.10.82.0
,F1/7,10.10.89.2,10.10.89.0
,F1/8,10.10.95.2,10.10.95.0
,F1/9,10.10.100.2,10.10.100.0
,F1/10,10.10.105.1,10.10.105.0
,F1/11,10.10.106.1,10.10.106.0
,F1/12,10.10.107.1,10.10.107.0
,F1/13,10.10.108.1,10.10.108.0
R12,F1/0,10.10.20.2,10.10.20.0
,F1/1,10.10.33.2,10.10.33.0
,F1/2,10.10.45.2,10.10.45.0
,F1/3,10.10.56.2,10.10.56.0
,F1/4,10.10.66.2,10.10.66.0
,F1/5,10.10.75.2,10.10.75.0
